312.35075	312.62075	154	FILL
312.62075	312.81075	217	IN
312.81075	312.97075	434	THE
312.97075	313.69975	222	INTERIOR
313.69975	325.8280625	99999	sp
325.8280625	325.9990625	434	THE
325.9990625	326.3880625	475	WATER
326.3880625	327.0690625	103	CONTAINED
327.0690625	327.2490625	448	TOO
327.2490625	327.5690625	269	MUCH
327.5690625	327.5880625	99999	sp
327.5880625	328.2680625	90	CHLORINE
328.2680625	328.4790625	20	AND
328.4790625	328.8790625	409	STUNG
328.8790625	329.0990625	208	HIS
329.0990625	329.7080625	149	EYES
329.7080625	341.6116875	99999	sp
341.6116875	342.0616875	229	JOHN'S
342.0616875	342.4706875	66	BROTHER
342.4706875	343.1006875	363	REPAINTED
343.1006875	343.1916875	434	THE
343.1916875	343.7016875	173	GARAGE
343.7016875	344.2016875	129	DOOR
344.2016875	355.8094375	99999	sp
355.8094375	356.4004375	84	CHALLENGE
356.4004375	356.7904375	132	EACH
356.7904375	357.4394375	175	GENERAL'S
357.4394375	358.4394375	221	INTELLIGENCE
358.4394375	369.703875	99999	sp
369.703875	370.673875	17	AMBIDEXTROUS
370.673875	371.412875	327	PICKPOCKETS
371.412875	372.013875	6	ACCOMPLISH
372.013875	372.443875	267	MORE
372.443875	383.8709375	99999	sp
383.8709375	383.96093750000006	1	A
383.96093750000006	384.6209375	271	MUSCULAR
384.6209375	385.29093750000004	2	ABDOMEN
385.29093750000004	385.5009375	224	IS
385.5009375	385.78093750000005	189	GOOD
385.78093750000005	385.8109375	99999	sp
385.8109375	385.92093750000004	161	FOR
385.92093750000004	386.1209375	496	YOUR
386.1209375	386.67093750000004	43	BACK
386.67093750000004	399.2368125	99999	sp
399.2368125	399.62681249999997	438	THEY
399.62681249999997	399.8668125	317	OWN
399.8668125	399.90581249999997	1	A
399.90581249999997	400.25681249999997	52	BIG
400.25681249999997	400.8068125	209	HOUSE
400.8068125	400.9768125	217	IN
400.9768125	401.0368125	434	THE
401.0368125	401.44681249999996	361	REMOTE
401.44681249999996	402.4558125	109	COUNTRYSIDE
402.4558125	413.7226875	99999	sp
413.7226875	413.8916875	434	THE
413.8916875	414.3916875	369	ROSE
414.3916875	415.2926875	106	CORSAGE
415.2926875	415.8026875	393	SMELLED
415.8026875	416.4326875	421	SWEET
416.4326875	427.2325	99999	sp
427.2325	427.5225	433	THAT
427.5225	428.2215	326	PICKPOCKET
428.2215	428.4615	472	WAS
428.4615	428.8125	80	CAUGHT
428.8125	429.0825	356	RED
429.0825	429.7325	199	HANDED
429.7325	444.2408125	99999	sp
444.2408125	444.4408125	19	AN
444.4408125	444.8498125	9	ADULT
444.8498125	445.2508125	255	MALE
445.2508125	445.9308125	42	BABOON'S
445.9308125	446.4208125	430	TEETH
446.4208125	446.5408125	30	ARE
446.5408125	446.8108125	285	NOT
446.8108125	447.3998125	415	SUITABLE
447.3998125	447.6108125	161	FOR
447.6108125	447.9508125	135	EATING
447.9508125	448.8008125	376	SHELLFISH
448.8008125	460.4294375	99999	sp
460.4294375	460.6294375	204	HER
460.6294375	461.3484375	470	WARDROBE
461.3484375	462.0284375	102	CONSISTS
462.0284375	462.1684375	294	OF
462.1684375	462.5794375	298	ONLY
462.5794375	463.1094375	385	SKIRTS
463.1094375	463.2594375	20	AND
463.2594375	464.0694375	54	BLOUSES
464.0694375	475.1070625	99999	sp
475.1070625	475.2460625	434	THE
475.2460625	475.5660625	453	TWO
475.5660625	476.2570625	33	ARTISTS
476.2570625	477.0770625	147	EXCHANGED
477.0770625	477.9770625	39	AUTOGRAPHS
477.9770625	490.6416875	99999	sp
490.6416875	491.35168749999997	71	BUTTERSCOTCH
491.35168749999997	491.3916875	99999	sp
491.3916875	491.91168749999997	169	FUDGE
491.91168749999997	492.2406875	186	GOES
492.2406875	492.5816875	481	WELL
492.5816875	492.75068749999997	487	WITH
492.75068749999997	492.80168749999996	99999	sp
492.80168749999996	493.2406875	463	VANILLA
493.2406875	493.5316875	212	ICE
493.5316875	493.92168749999996	112	CREAM
493.92168749999996	506.093625	99999	sp
506.093625	506.55362499999995	366	RICH
506.55362499999995	507.143625	349	PURCHASED
507.143625	507.80362499999995	374	SEVERAL
507.80362499999995	508.63262499999996	382	SIGNED
508.63262499999996	509.54362499999996	245	LITHOGRAPHS
509.54362499999996	520.9760000000001	99999	sp
520.9760000000001	521.285	24	ANY
521.285	522.2329675744336	105	CONTRIBUTIONS
522.2329675744336	522.4173552206615	485	WILL
522.4173552206615	522.5460000000003	47	BE
522.5460000000003	523.0060000000003	195	GREATLY
523.0060000000003	523.7660000000001	28	APPRECIATED
523.7660000000001	535.7633125	99999	sp
535.7633125	535.8733125	434	THE
535.8733125	536.6033125	111	CRANBERRY
536.6033125	537.1233125	57	BOG
537.1233125	537.5033125	178	GETS
537.5033125	537.9733125	465	VERY
537.9733125	538.4533125	340	PRETTY
538.4533125	538.6033125	217	IN
538.6033125	539.1033125	40	AUTUMN
539.1033125	550.1166875	99999	sp
550.1166875	550.4666875	210	HOW
550.4666875	550.6166875	128	DO
550.6166875	551.2366875	318	OYSTERS
551.2366875	551.6266875	253	MAKE
551.6266875	552.3076875	320	PEARLS
552.3076875	563.93625	99999	sp
563.93625	564.21625	257	MAY
564.21625	564.36525	211	I
564.36525	564.8462499999999	304	ORDER
564.8462499999999	564.91625	1	A
564.91625	565.6352499999999	319	PARFAIT
565.6352499999999	566.08625	10	AFTER
566.08625	566.17625	211	I
566.17625	566.4762499999999	134	EAT
566.4762499999999	566.9862499999999	124	DINNER
566.9862499999999	577.809375	99999	sp
577.809375	577.9803750000001	224	IS
577.9803750000001	578.189375	375	SHE
578.189375	578.589375	187	GOING
578.589375	578.7703750000001	487	WITH
578.7703750000001	579.0003750000001	495	YOU
579.0003750000001	591.2351875	99999	sp
591.2351875	591.4761875	76	CAN
591.4761875	591.6351875	434	THE
591.6351875	592.2551875	11	AGENCY
592.2551875	592.9661875	315	OVERTHROW
592.9661875	593.5251875	13	ALIEN
593.5251875	594.3061875000001	162	FORCES
594.3061875000001	605.8505146501984	99999	sp
605.8505146501984	605.9295146501985	1	A
605.9295146501985	606.7895146501985	371	SCREWDRIVER
606.7895146501985	607.0205146501985	224	IS
607.0205146501985	607.3395146501985	252	MADE
607.3395146501985	607.6495146501985	166	FROM
607.6495146501985	608.2295146501984	469	VODKA
608.2295146501984	608.4695146501984	20	AND
608.4695146501984	608.8505146501984	303	ORANGE
608.8505146501984	609.4495146501985	230	JUICE
609.4495146501985	620.2159375	99999	sp
620.2159375	620.4059374999999	210	HOW
620.4059374999999	620.7259375	269	MUCH
620.7259375	621.3649375	16	ALLOWANCE
621.3649375	621.4859375	128	DO
621.4859375	621.6959375	495	YOU
621.6959375	622.2049375	177	GET
622.2049375	634.026125	99999	sp
634.026125	634.676125	115	CYCLICAL
634.676125	635.3561249999999	346	PROGRAMS
635.3561249999999	635.5061249999999	485	WILL
635.5061249999999	635.8761249999999	281	NEVER
635.8761249999999	636.6061249999999	100	COMPILE
636.6061249999999	649.2349375	99999	sp
649.2349375	649.3749375	434	THE
649.3749375	650.0359374999999	61	BOSTON
650.0359374999999	650.6249375	45	BALLET
650.6249375	651.3749375	312	OVERCAME
651.3749375	651.5849375	435	THEIR
651.5849375	652.1059375	170	FUNDING
652.1059375	652.8349375	380	SHORTAGE
652.8349375	664.853	99999	sp
664.853	665.2629999999999	145	EVERY
665.2629999999999	665.752	74	CAB
665.752	666.1829999999999	280	NEEDS
666.1829999999999	666.8919999999999	364	REPAINTING
666.8919999999999	667.4329999999999	296	OFTEN
667.4329999999999	678.9730625	99999	sp
678.9730625	679.2940625	203	HELP
679.2940625	679.7030625	196	GREG
679.7030625	679.8930624999999	446	TO
679.8930624999999	680.2030625	325	PICK
680.2030625	680.3130624999999	1	A
680.3130624999999	680.6840625	321	PECK
680.6840625	680.8240625	294	OF
680.8240625	681.6430624999999	338	POTATOES
681.6430624999999	692.993125	99999	sp
692.993125	693.232125	476	WE
693.232125	693.472125	241	LIKE
693.472125	693.482125	99999	sp
693.482125	693.7921249999999	55	BLUE
693.7921249999999	694.353125	88	CHEESE
694.353125	694.523125	70	BUT
694.523125	694.982125	466	VICTOR
694.982125	695.372125	242	LIKES
695.372125	695.862125	64	BRIE
695.862125	708.820875	99999	sp
708.820875	709.210875	108	COUNT
709.210875	709.269875	434	THE
709.269875	709.6898749999999	289	NUMBER
709.6898749999999	709.779875	294	OF
709.779875	709.7998749999999	99999	sp
709.7998749999999	710.5498749999999	429	TEASPOONS
710.5498749999999	710.629875	294	OF
710.629875	711.4008749999999	395	SOYSAUCE
711.4008749999999	711.5498749999999	433	THAT
711.5498749999999	711.7298749999999	495	YOU
711.7298749999999	712.029875	7	ADD
712.029875	724.265375	99999	sp
724.265375	725.0253749999999	44	BAGPIPES
725.0253749999999	725.184375	20	AND
725.184375	725.875375	59	BONGOS
725.875375	726.065375	30	ARE
726.065375	726.625375	273	MUSICAL
726.625375	727.475375	220	INSTRUMENTS
727.475375	738.017375	99999	sp
738.017375	738.267375	210	HOW
738.267375	738.6173749999999	189	GOOD
738.6173749999999	738.837375	224	IS
738.837375	739.1173749999999	496	YOUR
739.1173749999999	739.957375	138	ENDURANCE
739.957375	762.996125	99999	sp
1502.9929375	1503.1519374999998	30	ARE
1503.1519374999998	1503.3629374999998	496	YOUR
1503.3629374999998	1503.8529374999998	192	GRADES
1503.8529374999998	1504.3729374999998	206	HIGHER
1504.3729374999998	1504.5129375	302	OR
1504.5129375	1504.9329374999998	251	LOWER
1504.9329374999998	1505.1829374999998	432	THAN
1505.1829374999998	1505.9619374999997	275	NANCY'S
1505.9619374999997	1516.640125	99999	sp
1516.640125	1516.9991249999998	375	SHE
1516.9991249999998	1517.4291249999999	490	WORE
1517.4291249999999	1517.9501249999998	471	WARM
1517.9501249999998	1518.5491249999998	158	FLEECY
1518.5491249999998	1519.070125	489	WOOLEN
1519.070125	1519.9291249999999	311	OVERALLS
1519.9291249999999	1530.41525	99999	sp
1530.41525	1530.89525	354	READING
1530.89525	1531.16525	217	IN
1531.16525	1531.50425	335	POOR
1531.50425	1531.97525	240	LIGHT
1531.97525	1532.33525	181	GIVES
1532.33525	1532.5452500000001	495	YOU
1532.5452500000001	1533.35525	150	EYESTRAIN
1533.35525	1544.161	99999	sp
1544.161	1544.591	142	EVEN
1544.591	1544.991	211	I
1544.991	1545.731	293	OCCASIONALLY
1545.731	1545.971	177	GET
1545.971	1546.101	434	THE
1546.101	1546.541	265	MONDAY
1546.541	1547.271	56	BLUES
1547.271	1557.800875	99999	sp
1557.800875	1558.080875	476	WE
1558.080875	1558.249875	30	ARE
1558.249875	1558.6198749999999	301	OPEN
1558.6198749999999	1559.020875	145	EVERY
1559.020875	1559.439875	265	MONDAY
1559.439875	1560.240875	143	EVENING
1560.240875	1571.19175	99999	sp
1571.19175	1571.45175	226	IT'S
1571.45175	1571.70175	285	NOT
1571.70175	1572.0917499999998	133	EASY
1572.0917499999998	1572.24175	446	TO
1572.24175	1572.8017499999999	113	CREATE
1572.8017499999999	1573.5817499999998	215	ILLUMINATING
1573.5817499999998	1574.49175	146	EXAMPLES
1574.49175	1585.599875	99999	sp
1585.599875	1586.119875	270	MUM
1586.119875	1586.758875	407	STRONGLY
1586.758875	1587.429875	126	DISLIKES
1587.429875	1588.419875	27	APPETIZERS
1588.419875	1600.133875	99999	sp
1600.133875	1600.553875	443	THOSE
1600.553875	1600.683875	484	WHO
1600.683875	1601.043875	427	TEACH
1601.043875	1601.623875	462	VALUES
1601.623875	1601.7228750000002	99999	sp
1601.7228750000002	1602.1738750000002	156	FIRST
1602.1738750000002	1602.782875	4	ABOLISH
1602.782875	1603.363875	87	CHEATING
1603.363875	1615.88525	99999	sp
1615.88525	1616.03425	434	THE
1616.03425	1616.14525	99999	sp
1616.14525	1616.52525	165	FRIGHTENED
1616.52525	1617.04425	89	CHILD
1617.04425	1617.26525	472	WAS
1617.26525	1617.71525	176	GENTLY
1617.71525	1618.41425	410	SUBDUED
1618.41425	1618.63525	73	BY
1618.63525	1618.90425	208	HIS
1618.90425	1619.25525	52	BIG
1619.25525	1619.73525	66	BROTHER
1619.73525	1631.1115	99999	sp
1631.1115	1631.4805	142	EVEN
1631.4805	1631.5515	1	A
1631.5515	1632.0405	383	SIMPLE
1632.0405	1632.9315	468	VOCABULARY
1632.9315	1633.5905	104	CONTAINS
1633.5905	1634.2804999999998	422	SYMBOLS
1634.2804999999998	1645.936	99999	sp
1645.936	1646.046	1	A
1646.046	1646.135	99999	sp
1646.135	1646.466	110	CRAB
1646.466	1647.0649999999998	85	CHALLENGED
1647.0649999999998	1647.445	258	ME
1647.445	1647.5359999999998	99999	sp
1647.5359999999998	1647.706	70	BUT
1647.706	1647.7359999999999	1	A
1647.7359999999999	1648.0559999999998	350	QUICK
1648.0559999999998	1648.5359999999998	402	STAB
1648.5359999999998	1649.135	464	VANQUISHED
1649.135	1649.156	99999	sp
1649.156	1649.396	207	HIM
1649.396	1661.330375	99999	sp
1661.330375	1662.001375	183	GLUCOSE
1662.001375	1662.140375	20	AND
1662.140375	1662.950375	167	FRUCTOSE
1662.950375	1663.140375	30	ARE
1663.140375	1663.6913749999999	276	NATURAL
1663.6913749999999	1664.260375	414	SUGARS
1664.260375	1664.571375	163	FOUND
1664.571375	1664.710375	217	IN
1664.710375	1665.251375	168	FRUIT
1665.251375	1675.14	99999	sp
1675.14	1675.291	30	ARE
1675.291	1675.51	495	YOU
1675.51	1675.88	250	LOOKING
1675.88	1676.14	161	FOR
1676.14	1676.901	136	EMPLOYMENT
1676.901	1690.0724375	99999	sp
1690.0724375	1690.4224375	98	COFFEE
1690.4224375	1690.8024375	224	IS
1690.8024375	1691.2424375	198	GROWN
1691.2424375	1691.5214375	297	ON
1691.5214375	1692.0024375	404	STEEP
1692.0024375	1692.2924375	99999	sp
1692.2924375	1692.7424375	231	JUNGLE
1692.7424375	1692.9824375	241	LIKE
1692.9824375	1693.5924375	390	SLOPES
1693.5924375	1693.8224375	217	IN
1693.8224375	1694.3524375	431	TEMPERATE
1694.3524375	1694.9614375	497	ZONES
1694.9614375	1705.7695	99999	sp
1705.7695	1706.0195	476	WE
1706.0195	1706.6395	480	WELCOME
1706.6395	1706.9895000000001	256	MANY
1706.9895000000001	1707.3005	282	NEW
1707.3005	1707.9105000000002	408	STUDENTS
1707.9105000000002	1708.2595000000001	132	EACH
1708.2595000000001	1708.6095000000003	491	YEAR
1708.6095000000003	1719.27925	99999	sp
1719.27925	1719.6492500000002	298	ONLY
1719.6492500000002	1719.74025	434	THE
1719.74025	1720.1202500000002	51	BEST
1720.1202500000002	1720.6492500000002	330	PLAYERS
1720.6492500000002	1721.13025	139	ENJOY
1721.13025	1722.01025	336	POPULARITY
1722.01025	1732.373875	99999	sp
1732.373875	1733.0038749999999	75	CALCIUM
1733.0038749999999	1733.4038749999997	254	MAKES
1733.4038749999997	1733.993875	58	BONES
1733.993875	1734.1628749999998	99999	sp
1734.1628749999998	1734.442875	20	AND
1734.442875	1734.713875	430	TEETH
1734.713875	1735.3128749999998	406	STRONG
1735.3128749999998	1746.2955	99999	sp
1746.2955	1746.7755	286	NOTHING
1746.7755	1747.0355	224	IS
1747.0355	1747.1944999999998	34	AS
1747.1944999999998	1747.8445	295	OFFENSIVE
1747.8445	1748.1555	34	AS
1748.1555	1748.9255	219	INNOCENCE
1748.9255	1760.1571875	99999	sp
1760.1571875	1760.7161875000002	405	STEVE
1760.7161875000002	1760.7471875	99999	sp
1760.7471875	1761.0661875	490	WORE
1761.0661875	1761.0961875	1	A
1761.0961875	1761.5861875	65	BRIGHT
1761.5861875	1761.9071875	356	RED
1761.9071875	1762.4971875	78	CASHMERE
1762.4971875	1763.0471875	420	SWEATER
1763.0471875	1773.4399158363296	99999	sp
1773.4399158363296	1773.9935611994233	46	BARBS
1773.9935611994233	1774.282107728865	188	GOLD
1774.282107728865	1774.8631077288649	63	BRACELET
1774.8631077288649	1775.0931077288649	472	WAS
1775.0931077288649	1775.1331077288648	1	A
1775.1331077288648	1775.9421077288648	193	GRADUATION
1775.9421077288648	1776.542107728865	339	PRESENT
1776.542107728865	1788.6278125	99999	sp
1788.6278125	1789.0378124999997	130	DRAW
1789.0378124999997	1789.4578124999998	145	EVERY
1789.4578124999998	1789.7778124999998	308	OUTER
1789.7778124999998	1790.1278125	244	LINE
1790.1278125	1790.7588124999997	156	FIRST
1790.7588124999997	1791.2788124999997	436	THEN
1791.2788124999997	1791.4978124999998	154	FILL
1791.4978124999998	1791.6488124999998	217	IN
1791.6488124999998	1791.8288125	434	THE
1791.8288125	1792.5388124999997	222	INTERIOR
1792.5388124999997	1804.4816875	99999	sp
1804.4816875	1804.6306874999998	434	THE
1804.6306874999998	1805.0916874999998	475	WATER
1805.0916874999998	1805.8416874999998	103	CONTAINED
1805.8416874999998	1806.0316874999999	448	TOO
1806.0316874999999	1806.3216874999998	269	MUCH
1806.3216874999998	1807.1306874999998	90	CHLORINE
1807.1306874999998	1807.3906874999998	20	AND
1807.3906874999998	1807.7906874999999	409	STUNG
1807.7906874999999	1808.0106875	208	HIS
1808.0106875	1808.6206874999998	149	EYES
1808.6206874999998	1819.309	99999	sp
1819.309	1819.7189999999998	229	JOHN'S
1819.7189999999998	1820.2189999999998	66	BROTHER
1820.2189999999998	1820.809	363	REPAINTED
1820.809	1820.879	434	THE
1820.879	1821.379	173	GARAGE
1821.379	1821.889	129	DOOR
1821.889	1833.0144375	99999	sp
1833.0144375	1833.6454375	84	CHALLENGE
1833.6454375	1834.0644375	132	EACH
1834.0644375	1834.7154375	175	GENERAL'S
1834.7154375	1835.7444375	221	INTELLIGENCE
1835.7444375	1847.304125	99999	sp
1847.304125	1848.2931250000001	17	AMBIDEXTROUS
1848.2931250000001	1849.0331250000002	327	PICKPOCKETS
1849.0331250000002	1849.583125	6	ACCOMPLISH
1849.583125	1849.973125	267	MORE
1849.973125	1860.4666875	99999	sp
1860.4666875	1860.5276875000002	1	A
1860.5276875000002	1861.1976875	271	MUSCULAR
1861.1976875	1861.7666875	2	ABDOMEN
1861.7666875	1862.0166875	224	IS
1862.0166875	1862.3076875000002	189	GOOD
1862.3076875000002	1862.3966875	161	FOR
1862.3966875	1862.6376875	496	YOUR
1862.6376875	1863.1766875	43	BACK
1863.1766875	1874.568125	99999	sp
1874.568125	1874.9581249999999	438	THEY
1874.9581249999999	1875.188125	317	OWN
1875.188125	1875.2481249999998	1	A
1875.2481249999998	1875.608125	52	BIG
1875.608125	1875.628125	99999	sp
1875.628125	1876.158125	209	HOUSE
1876.158125	1876.2681249999998	217	IN
1876.2681249999998	1876.328125	434	THE
1876.328125	1876.7681249999998	361	REMOTE
1876.7681249999998	1877.6991249999999	109	COUNTRYSIDE
1877.6991249999999	1887.774375	99999	sp
1887.774375	1887.944375	434	THE
1887.944375	1888.405375	369	ROSE
1888.405375	1889.274375	106	CORSAGE
1889.274375	1889.714375	393	SMELLED
1889.714375	1890.364375	421	SWEET
1890.364375	1900.4109375	99999	sp
1900.4109375	1900.7419375000002	433	THAT
1900.7419375000002	1901.3819375	326	PICKPOCKET
1901.3819375	1901.6319375	472	WAS
1901.6319375	1901.9819375	80	CAUGHT
1901.9819375	1902.3219375	356	RED
1902.3219375	1902.8619375	199	HANDED
1902.8619375	1903.0119375000002	19	AN
1903.0119375000002	1915.2467366941737	99999	sp
1915.2467366941737	1915.8667366941736	9	ADULT
1915.8667366941736	1916.2557366941737	255	MALE
1916.2557366941737	1916.9267366941738	42	BABOON'S
1916.9267366941738	1917.4067366941736	430	TEETH
1917.4067366941736	1917.5567366941737	30	ARE
1917.5567366941737	1917.8167366941736	285	NOT
1917.8167366941736	1918.3567366941736	415	SUITABLE
1918.3567366941736	1918.5367366941737	161	FOR
1918.5367366941737	1918.9167366941738	135	EATING
1918.9167366941738	1919.7257366941737	376	SHELLFISH
1919.7257366941737	1930.6150625	99999	sp
1930.6150625	1930.8550625	204	HER
1930.8550625	1931.4750625	470	WARDROBE
1931.4750625	1932.2050625	102	CONSISTS
1932.2050625	1932.4040625	294	OF
1932.4040625	1932.7950625	298	ONLY
1932.7950625	1933.3050624999998	385	SKIRTS
1933.3050624999998	1933.4550625	20	AND
